Кол-во согласных в названии = 2 ; Это дерево, ему 101 лет, Его название: Дуб ; Растёт в тундре
Кол-во согласных в названии = 3 ; Это кустарник, месяц цветения - февраль, Его название: Малина ; Растёт в пустыни
Кол-во согласных в названии = 2 ; Это цветок, тип цветка - домашние, Его название: Роза; Растёт в тундре
Кол-во согласных в названии = 3 ; Это дерево, ему 21 лет, Его название: Берёза ; Растёт в степи
Кол-во согласных в названии = 5 ; Это кустарник, месяц цветения - ноябрь, Его название: Брусника ; Растёт в арктике
Кол-во согласных в названии = 4 ; Это цветок, тип цветка - редкие, Его название: Ромашка; Растёт в пустыни
Кол-во согласных в названии = 7 ; Это дерево, ему 56 лет, Его название: Ппппппп ; Местность введенна некорректно
Кол-во согласных в названии = 0 ; Это кустарник, месяц цветения - сентябрь, Его название: ОООО ; Растёт в пустыни
Кол-во согласных в названии = 3 ; Это кустарник, месяц цветения - март, Его название: Малины ; Растёт в тундре
---------------
Кол-во согласных в названии = 0 ; Это кустарник, месяц цветения - сентябрь, Его название: ОООО ; Растёт в пустыни
Кол-во согласных в названии = 2 ; Это цветок, тип цветка - домашние, Его название: Роза; Растёт в тундре
Кол-во согласных в названии = 2 ; Это дерево, ему 101 лет, Его название: Дуб ; Растёт в тундре
Кол-во согласных в названии = 3 ; Это кустарник, месяц цветения - март, Его название: Малины ; Растёт в тундре
Кол-во согласных в названии = 3 ; Это кустарник, месяц цветения - февраль, Его название: Малина ; Растёт в пустыни
Кол-во согласных в названии = 3 ; Это дерево, ему 21 лет, Его название: Берёза ; Растёт в степи
Кол-во согласных в названии = 4 ; Это цветок, тип цветка - редкие, Его название: Ромашка; Растёт в пустыни
Кол-во согласных в названии = 5 ; Это кустарник, месяц цветения - ноябрь, Его название: Брусника ; Растёт в арктике
Кол-во согласных в названии = 7 ; Это дерево, ему 56 лет, Его название: Ппппппп ; Местность введенна некорректно
---------------------
Кол-во согласных в названии = 2 ; Это дерево, ему 101 лет, Его название: Дуб ; Растёт в тундре
Кол-во согласных в названии = 3 ; Это дерево, ему 21 лет, Его название: Берёза ; Растёт в степи
Кол-во согласных в названии = 7 ; Это дерево, ему 56 лет, Его название: Ппппппп ; Местность введенна некорректно
